USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
tliTqjzl2rUwGqhOcoCFuEufLkq2,1-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577724784911,1577724906695,121784,true,30.12.19,1-tliTqjzl2rUwGqhOcoCFuEufLkq2,7,1577724784964
tliTqjzl2rUwGqhOcoCFuEufLkq2,2-tliTqjzl2rUwGqhOcoCFuEufLkq2,true,false,1577724906732,1577724931944,25212,true,30.12.19,2-tliTqjzl2rUwGqhOcoCFuEufLkq2,3,1577724906749
tliTqjzl2rUwGqhOcoCFuEufLkq2,3-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577724931966,1577725150332,218366,true,30.12.19,3-tliTqjzl2rUwGqhOcoCFuEufLkq2,7,1577724931992
tliTqjzl2rUwGqhOcoCFuEufLkq2,3-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577724931966,1577725150332,218366,true,30.12.19,4-tliTqjzl2rUwGqhOcoCFuEufLkq2,7,1577725050825
tliTqjzl2rUwGqhOcoCFuEufLkq2,4-tliTqjzl2rUwGqhOcoCFuEufLkq2,true,false,1577725150351,1577725241751,91400,true,30.12.19,5-tliTqjzl2rUwGqhOcoCFuEufLkq2,3,1577725150365
tliTqjzl2rUwGqhOcoCFuEufLkq2,5-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577725241766,1577725301959,60193,true,30.12.19,6-tliTqjzl2rUwGqhOcoCFuEufLkq2,11,1577725241788
tliTqjzl2rUwGqhOcoCFuEufLkq2,6-tliTqjzl2rUwGqhOcoCFuEufLkq2,true,false,1577725301974,1577725385258,83284,true,30.12.19,7-tliTqjzl2rUwGqhOcoCFuEufLkq2,3,1577725301994
tliTqjzl2rUwGqhOcoCFuEufLkq2,7-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577725385286,1577725482471,97185,true,30.12.19,8-tliTqjzl2rUwGqhOcoCFuEufLkq2,11,1577725385299
tliTqjzl2rUwGqhOcoCFuEufLkq2,8-tliTqjzl2rUwGqhOcoCFuEufLkq2,true,false,1577725482499,1577725578281,95782,true,30.12.19,9-tliTqjzl2rUwGqhOcoCFuEufLkq2,3,1577725482525
tliTqjzl2rUwGqhOcoCFuEufLkq2,9-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577725578298,1577725946833,368535,true,30.12.19,10-tliTqjzl2rUwGqhOcoCFuEufLkq2,7,1577725578311
tliTqjzl2rUwGqhOcoCFuEufLkq2,9-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577725578298,1577725946833,368535,true,30.12.19,11-tliTqjzl2rUwGqhOcoCFuEufLkq2,7,1577725639676
tliTqjzl2rUwGqhOcoCFuEufLkq2,10-tliTqjzl2rUwGqhOcoCFuEufLkq2,true,false,1577725946847,1577726069475,122628,true,30.12.19,12-tliTqjzl2rUwGqhOcoCFuEufLkq2,3,1577725946879
tliTqjzl2rUwGqhOcoCFuEufLkq2,11-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577726069484,1577726130007,60523,true,30.12.19,13-tliTqjzl2rUwGqhOcoCFuEufLkq2,11,1577726069496
tliTqjzl2rUwGqhOcoCFuEufLkq2,12-tliTqjzl2rUwGqhOcoCFuEufLkq2,true,false,1577726130025,1577726167119,37094,true,30.12.19,14-tliTqjzl2rUwGqhOcoCFuEufLkq2,3,1577726130049
tliTqjzl2rUwGqhOcoCFuEufLkq2,13-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577726167135,1577726190530,23395,false,30.12.19,15-tliTqjzl2rUwGqhOcoCFuEufLkq2,11,1577726167150
tliTqjzl2rUwGqhOcoCFuEufLkq2,14-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,true,1577726190542,1577727169629,979087,true,30.12.19,16-tliTqjzl2rUwGqhOcoCFuEufLkq2,0,1577726190553
tliTqjzl2rUwGqhOcoCFuEufLkq2,15-tliTqjzl2rUwGqhOcoCFuEufLkq2,true,false,1577727169657,1577731706167,4536510,false,30.12.19,17-tliTqjzl2rUwGqhOcoCFuEufLkq2,3,1577727169678
tliTqjzl2rUwGqhOcoCFuEufLkq2,16-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577731706231,1577731963792,257561,true,30.12.19,18-tliTqjzl2rUwGqhOcoCFuEufLkq2,7,1577731706261
tliTqjzl2rUwGqhOcoCFuEufLkq2,16-tliTqjzl2rUwGqhOcoCFuEufLkq2,false,false,1577731706231,1577731963792,257561,true,30.12.19,19-tliTqjzl2rUwGqhOcoCFuEufLkq2,7,1577731706652
